annee_mise_en_service,departement,nb_borne,TMJA,ratio_borne_TMJA,ratio_TMJA_borne
2019,Territoire de Belfort,4,21268.11363636364,0.00018807497779967233,5317.02840909091
2019,Var,50,44751.944444444445,0.0011172698889557872,895.0388888888889
2019,Vaucluse,1,23040.777777777777,4.3401312648589215e-05,23040.777777777777
2019,Vendée,2,19082.846153846152,0.00010480616905235069,9541.423076923076
2019,Vienne,44,19337.70833333333,0.002275347173592183,439.4933712121211
2019,Vosges,2,12366.0,0.00016173378618793466,6183.0
2019,Yonne,9,14403.186046511628,0.0006248617473201181,1600.3540051679586
2019,Yvelines,6,51830.625,0.00011576167565025504,8638.4375
2020,Ain,133,33590.30952380953,0.003959475273835353,252.55871822413178
2020,Aisne,10,21064.58333333333,0.0004747304915438632,2106.458333333333
2020,Allier,23,11773.79411764706,0.0019534909282579206,511.9040920716113
2020,Alpes-Maritimes,140,64113.230769230766,0.002183636642862628,457.9516483516483
2020,Alpes-de-Haute-Provence,134,6236.038461538462,0.021488000888137807,46.537600459242256
2020,Ardennes,22,,,
2020,Ardèche,229,11141.07142857143,0.020554576053854783,48.65096693699314
2020,Ariège,2,12251.227272727272,0.00016324895093998006,6125.613636363636
2020,Aube,7,15852.636363636364,0.00044156693179798025,2264.662337662338
2020,Aveyron,14,12808.326086956522,0.0010930390048592713,914.8804347826087
2020,Bas-Rhin,70,60378.5504587156,0.0011593521121025115,862.5507208387943
2020,Bouches-du-Rhône,48,67540.25974025975,0.0007106872283967234,1407.0887445887447
2020,Calvados,13,35779.38888888889,0.0003633376757878915,2752.260683760684
2020,Charente,40,19481.74358974359,0.002053204314887837,487.04358974358973
2020,Charente-Maritime,10,23352.846153846152,0.0004282133292927563,2335.2846153846153
2020,Cher,23,19941.125,0.0011533953074362654,867.0054347826087
2020,Corrèze,2,23310.571428571428,8.579798252172528e-05,11655.285714285714
2020,Côte-d'Or,113,36131.07407407407,0.003127501822069646,319.74401835463783
2020,Côtes-d'Armor,2,32745.272727272728,6.107751847594933e-05,16372.636363636364
2020,Deux-Sèvres,14,17118.217391304348,0.0008178421666213721,1222.7298136645963
2020,Dordogne,11,12844.5,0.0008563976799408307,1167.6818181818182
2020,Doubs,16,19108.114285714284,0.000837340606234599,1194.2571428571428
2020,Drôme,277,19800.380116959062,0.013989630419405381,71.48151666772225
2020,Essonne,71,64850.619047619046,0.0010948237818341493,913.3890006706907
2020,Eure-et-Loir,6,31604.106666666667,0.0001898487453951132,5267.351111111111
2020,Finistère,3,25727.13793103448,0.0001166083848130312,8575.71264367816
2020,Gard,33,29390.14285714286,0.0011228254370999023,890.6103896103897
2020,Gironde,172,56157.6129032258,0.0030628082482138407,326.49774943735935
2020,Haut-Rhin,21,31982.533333333333,0.000656608398750985,1522.9777777777776
2020,Haute-Garonne,146,53704.42857142857,0.0027185839954672534,367.8385518590998
2020,Haute-Loire,62,10279.75,0.0060312750796468785,165.80241935483872
2020,Haute-Savoie,354,33428.44,0.01058978522479661,94.43062146892656
2020,Haute-Saône,4,11268.24,0.00035498001462517663,2817.06
2020,Haute-Vienne,1,25147.625,3.976518657328475e-05,25147.625
2020,Hautes-Alpes,174,10054.46,0.017305752869870687,57.78425287356321
2020,Hautes-Pyrénées,1,19493.0,5.130046683424819e-05,19493.0
2020,Hauts-de-Seine,351,73716.25,0.0047615010258932056,210.01780626780626
2020,Hérault,22,38399.03571428572,0.0005729310538862117,1745.4107142857144
2020,Ille-et-Vilaine,68,52015.43333333333,0.0013073043064782696,764.9328431372548
2020,Indre,5,22896.545454545456,0.00021837355377150977,4579.3090909090915
