departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Loire-Atlantique,2022,19308,336,1300406,201,697,27.7,0.04
Loire-Atlantique,2023,27967,362,1323179,658,1355,20.64,0.05
Loire-Atlantique,2024,35983,362,1326840,1319,2674,13.46,0.07
Loiret,2020,3618,24,668162,31,43,84.14,0.01
Loiret,2021,6240,27,697849,73,116,53.79,0.02
Loiret,2022,8802,29,691956,255,371,23.73,0.04
Loiret,2023,12870,28,698114,218,589,21.85,0.05
Loiret,2024,15337,26,679165,433,1022,15.01,0.07
Lot,2021,1530,7,193799,133,137,11.17,0.09
Lot,2022,2210,7,198302,33,170,13.0,0.08
Lot,2023,2914,7,198404,30,200,14.57,0.07
Lot,2024,3577,7,199581,111,311,11.5,0.09
Lot-et-Garonne,2020,1834,14,352847,47,47,39.02,0.03
Lot-et-Garonne,2021,3187,17,355104,21,68,46.87,0.02
Lot-et-Garonne,2022,4614,15,361298,73,141,32.72,0.03
Lot-et-Garonne,2023,6326,19,362872,80,221,28.62,0.03
Lot-et-Garonne,2024,7599,22,358070,464,685,11.09,0.09
Lozère,2020,252,0,82277,14,34,7.41,0.13
Lozère,2021,401,0,81802,6,40,10.02,0.1
Lozère,2022,582,0,84800,71,111,5.24,0.19
Lozère,2023,781,1,86147,6,117,6.68,0.15
Lozère,2024,996,1,86279,28,145,6.87,0.15
Maine-et-Loire,2020,4245,49,733356,1,37,114.73,0.01
Maine-et-Loire,2021,7168,59,755428,416,453,15.82,0.06
Maine-et-Loire,2022,10527,73,765104,200,653,16.12,0.06
Maine-et-Loire,2023,14631,81,762632,248,901,16.24,0.06
Maine-et-Loire,2024,19634,89,781720,782,1683,11.67,0.09
Manche,2020,2865,23,486462,16,471,6.08,0.16
Manche,2021,4757,22,492148,130,601,7.92,0.13
Manche,2022,6995,26,496924,73,674,10.38,0.1
Manche,2023,10319,28,509006,134,808,12.77,0.08
Manche,2024,13024,27,514065,362,1170,11.13,0.09
Marne,2020,2947,8,551392,93,133,22.16,0.05
