departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
Tarn-et-Garonne,2023,4846,8,273819
Tarn-et-Garonne,2024,6288,9,276792
Territoire de Belfort,2020,645,6,139546
Territoire de Belfort,2021,1144,5,141009
Territoire de Belfort,2022,1701,5,143914
Territoire de Belfort,2023,2542,4,145521
Territoire de Belfort,2024,3173,3,148835
Val-d'Oise,2020,6134,26,1030021
Val-d'Oise,2021,10607,44,1040367
Val-d'Oise,2022,15158,51,1080051
Val-d'Oise,2023,21951,57,1100583
Val-d'Oise,2024,30680,63,1101897
Val-de-Marne,2020,6447,67,988269
Val-de-Marne,2021,11552,72,1001063
Val-de-Marne,2022,16601,71,1007589
Val-de-Marne,2023,24425,69,1025073
Val-de-Marne,2024,31571,70,1044243
Var,2020,6865,10,1150467
Var,2021,12940,15,1177323
Var,2022,18606,19,1148010
Var,2023,27917,23,1208509
Var,2024,34223,32,1185442
Vaucluse,2020,3548,21,598859
Vaucluse,2021,6252,24,611174
Vaucluse,2022,9427,25,632019
Vaucluse,2023,13583,32,650683
Vaucluse,2024,16975,37,636581
Vendée,2020,3925,23,663809
Vendée,2021,6699,31,684653
Vendée,2022,10094,50,699570
Vendée,2023,14100,73,700467
Vendée,2024,18093,86,714367
Vienne,2020,2485,21,408543
Vienne,2021,5172,20,407955
Vienne,2022,6923,20,433728
Vienne,2023,9248,20,420207
Vienne,2024,10600,22,424138
Vosges,2020,1487,5,377743
Vosges,2021,2700,7,380260
Vosges,2022,4146,11,392338
Vosges,2023,5863,14,394187
Vosges,2024,7715,16,401880
Yonne,2020,1222,8,326298
Yonne,2021,2191,10,341255
Yonne,2022,3166,17,340328
Yonne,2023,4397,18,340531
Yonne,2024,5844,19,348520
Yvelines,2020,16293,77,1376870
Yvelines,2021,25399,77,1404500
Yvelines,2022,36208,80,1407652
Yvelines,2023,51856,86,1429123
Yvelines,2024,85133,93,1525178
