nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,nb_el/borne,borne/nb_el,nom_region
Finistère,2023,17417,21,982891,643,27.09,0.04,Bretagne
Finistère,2024,22662,24,997882,609,37.21,0.03,Bretagne
Gard,2020,4273,9,770805,33,129.48,0.01,Occitanie
Gard,2021,7794,10,767937,138,56.48,0.02,Occitanie
Gard,2022,11649,11,781568,462,25.21,0.04,Occitanie
Gard,2023,16944,14,786797,215,78.81,0.01,Occitanie
Gard,2024,21216,15,790199,534,39.73,0.03,Occitanie
Gers,2021,1858,9,208196,15,123.87,0.01,Occitanie
Gers,2022,2463,7,198925,46,53.54,0.02,Occitanie
Gers,2023,3495,8,201728,32,109.22,0.01,Occitanie
Gers,2024,4826,7,217273,207,23.31,0.04,Occitanie
Gironde,2020,9735,66,1493730,172,56.6,0.02,Nouvelle-Aquitaine
Gironde,2021,18261,68,1569995,280,65.22,0.02,Nouvelle-Aquitaine
Gironde,2022,25358,59,1528013,478,53.05,0.02,Nouvelle-Aquitaine
Gironde,2023,35634,57,1545644,470,75.82,0.01,Nouvelle-Aquitaine
Gironde,2024,48231,66,1640294,1983,24.32,0.04,Nouvelle-Aquitaine
Haut-Rhin,2020,5618,80,801749,21,267.52,0.0,Grand Est
Haut-Rhin,2021,9790,84,809543,72,135.97,0.01,Grand Est
Haut-Rhin,2022,14133,86,800786,181,78.08,0.01,Grand Est
Haut-Rhin,2023,20330,90,829421,271,75.02,0.01,Grand Est
Haut-Rhin,2024,24966,92,829368,609,41.0,0.02,Grand Est
Haute-Corse,2020,1480,1,212699,7,211.43,0.0,Corse
Haute-Corse,2021,3559,1,218915,36,98.86,0.01,Corse
Haute-Corse,2022,6002,1,222118,42,142.9,0.01,Corse
Haute-Corse,2023,11089,2,232214,34,326.15,0.0,Corse
Haute-Corse,2024,11960,2,235437,30,398.67,0.0,Corse
Haute-Garonne,2020,10409,99,1298263,146,71.29,0.01,Occitanie
Haute-Garonne,2021,17369,101,1319269,302,57.51,0.02,Occitanie
Haute-Garonne,2022,25537,103,1347924,823,31.03,0.03,Occitanie
Haute-Garonne,2023,36326,108,1347734,968,37.53,0.03,Occitanie
Haute-Garonne,2024,46733,110,1387953,1333,35.06,0.03,Occitanie
Haute-Loire,2020,914,12,248447,62,14.74,0.07,Auvergne-Rhône-Alpes
Haute-Loire,2021,1644,11,252912,23,71.48,0.01,Auvergne-Rhône-Alpes
Haute-Loire,2022,2421,10,256289,37,65.43,0.02,Auvergne-Rhône-Alpes
Haute-Loire,2023,3415,14,260289,16,213.44,0.0,Auvergne-Rhône-Alpes
Haute-Loire,2024,4546,12,264010,78,58.28,0.02,Auvergne-Rhône-Alpes
Haute-Marne,2021,814,3,164693,9,90.44,0.01,Grand Est
Haute-Marne,2022,1223,4,165597,90,13.59,0.07,Grand Est
Haute-Marne,2023,2069,5,188420,89,23.25,0.04,Grand Est
Haute-Marne,2024,2158,6,167574,73,29.56,0.03,Grand Est
Haute-Savoie,2020,7201,68,852276,354,20.34,0.05,Auvergne-Rhône-Alpes
Haute-Savoie,2021,12032,80,890171,38,316.63,0.0,Auvergne-Rhône-Alpes
Haute-Savoie,2022,17552,84,903053,309,56.8,0.02,Auvergne-Rhône-Alpes
Haute-Savoie,2023,25182,90,949211,205,122.84,0.01,Auvergne-Rhône-Alpes
Haute-Savoie,2024,31138,93,945738,691,45.06,0.02,Auvergne-Rhône-Alpes
Haute-Saône,2020,795,4,248191,4,198.75,0.01,Bourgogne-Franche-Comté
Haute-Saône,2022,1999,4,247338,6,333.17,0.0,Bourgogne-Franche-Comté
Haute-Saône,2023,2949,3,247638,36,81.92,0.01,Bourgogne-Franche-Comté
Haute-Saône,2024,4015,2,269340,188,21.36,0.05,Bourgogne-Franche-Comté
Haute-Vienne,2020,1671,14,378483,1,1671.0,0.0,Nouvelle-Aquitaine
Haute-Vienne,2021,3062,14,386255,57,53.72,0.02,Nouvelle-Aquitaine
Haute-Vienne,2022,4545,10,384632,58,78.36,0.01,Nouvelle-Aquitaine
Haute-Vienne,2023,6556,12,389835,132,49.67,0.02,Nouvelle-Aquitaine
Haute-Vienne,2024,8460,12,395781,364,23.24,0.04,Nouvelle-Aquitaine
Hautes-Alpes,2020,769,2,146699,174,4.42,0.23,Provence-Alpes-Côte d'Azur
Hautes-Alpes,2021,1307,5,150562,15,87.13,0.01,Provence-Alpes-Côte d'Azur
Hautes-Alpes,2022,1843,5,152015,22,83.77,0.01,Provence-Alpes-Côte d'Azur
Hautes-Alpes,2023,2533,6,158242,66,38.38,0.03,Provence-Alpes-Côte d'Azur
Hautes-Alpes,2024,3188,6,159002,184,17.33,0.06,Provence-Alpes-Côte d'Azur
Hautes-Pyrénées,2020,1042,17,232963,1,1042.0,0.0,Occitanie
Hautes-Pyrénées,2021,1786,18,244293,20,89.3,0.01,Occitanie
Hautes-Pyrénées,2022,2509,19,241701,225,11.15,0.09,Occitanie
Hautes-Pyrénées,2023,3561,19,249526,78,45.65,0.02,Occitanie
Hautes-Pyrénées,2024,4297,19,239032,160,26.86,0.04,Occitanie
Hauts-de-Seine,2020,23435,134,1444363,351,66.77,0.01,Île-de-France
Hauts-de-Seine,2021,35886,134,1469612,636,56.42,0.02,Île-de-France
Hauts-de-Seine,2022,49308,143,1484625,375,131.49,0.01,Île-de-France
Hauts-de-Seine,2023,73494,174,1532630,484,151.85,0.01,Île-de-France
Hauts-de-Seine,2024,102336,704,1624935,1000,102.34,0.01,Île-de-France
Hérault,2020,6751,54,1154199,22,306.86,0.0,Occitanie
Hérault,2021,12492,55,1177526,97,128.78,0.01,Occitanie
Hérault,2022,18968,56,1178412,414,45.82,0.02,Occitanie
Hérault,2023,28358,58,1211267,453,62.6,0.02,Occitanie
Hérault,2024,36305,62,1228065,1058,34.31,0.03,Occitanie
Ille-et-Vilaine,2020,5744,24,983078,68,84.47,0.01,Bretagne
Ille-et-Vilaine,2021,9781,37,999477,67,145.99,0.01,Bretagne
Ille-et-Vilaine,2022,14801,39,1001747,196,75.52,0.01,Bretagne
Ille-et-Vilaine,2023,20607,47,1012251,367,56.15,0.02,Bretagne
Ille-et-Vilaine,2024,27517,54,1046218,593,46.4,0.02,Bretagne
Indre,2020,672,2,216932,5,134.4,0.01,Centre-Val de Loire
Indre,2021,1089,2,219279,4,272.25,0.0,Centre-Val de Loire
Indre,2022,1642,1,224913,33,49.76,0.02,Centre-Val de Loire
Indre,2023,2208,1,227561,18,122.67,0.01,Centre-Val de Loire
Indre,2024,2805,3,222134,194,14.46,0.07,Centre-Val de Loire
Indre-et-Loire,2020,3872,13,560889,15,258.13,0.0,Centre-Val de Loire
Indre-et-Loire,2021,6446,10,569258,64,100.72,0.01,Centre-Val de Loire
Indre-et-Loire,2022,9029,13,563505,109,82.83,0.01,Centre-Val de Loire
Indre-et-Loire,2023,13178,13,581573,309,42.65,0.02,Centre-Val de Loire
Indre-et-Loire,2024,16726,15,588175,294,56.89,0.02,Centre-Val de Loire
Isère,2020,8111,126,1234395,314,25.83,0.04,Auvergne-Rhône-Alpes
Isère,2021,14019,155,1263577,166,84.45,0.01,Auvergne-Rhône-Alpes
Isère,2022,19873,162,1255946,338,58.8,0.02,Auvergne-Rhône-Alpes
Isère,2023,29220,179,1297580,432,67.64,0.01,Auvergne-Rhône-Alpes
Isère,2024,37301,169,1308412,868,42.97,0.02,Auvergne-Rhône-Alpes
Jura,2020,1197,5,259798,10,119.7,0.01,Bourgogne-Franche-Comté
Jura,2021,2134,6,275694,18,118.56,0.01,Bourgogne-Franche-Comté
Jura,2022,3127,9,275764,29,107.83,0.01,Bourgogne-Franche-Comté
Jura,2023,4326,9,279534,76,56.92,0.02,Bourgogne-Franche-Comté
Jura,2024,5424,7,277412,152,35.68,0.03,Bourgogne-Franche-Comté
Landes,2020,1946,24,441349,167,11.65,0.09,Nouvelle-Aquitaine
Landes,2021,3783,28,461006,41,92.27,0.01,Nouvelle-Aquitaine
Landes,2022,5821,30,465992,109,53.4,0.02,Nouvelle-Aquitaine
Landes,2023,8023,24,461106,172,46.65,0.02,Nouvelle-Aquitaine
Landes,2024,10712,33,473772,651,16.45,0.06,Nouvelle-Aquitaine
Loir-et-Cher,2020,1721,8,337717,30,57.37,0.02,Centre-Val de Loire
Loir-et-Cher,2021,2715,9,345812,40,67.88,0.01,Centre-Val de Loire
Loir-et-Cher,2022,3888,8,344257,284,13.69,0.07,Centre-Val de Loire
Loir-et-Cher,2023,5481,7,346865,164,33.42,0.03,Centre-Val de Loire
Loir-et-Cher,2024,7142,9,358535,445,16.05,0.06,Centre-Val de Loire
Loire,2020,3324,44,726220,257,12.93,0.08,Auvergne-Rhône-Alpes
Loire,2021,6270,48,746773,107,58.6,0.02,Auvergne-Rhône-Alpes
Loire,2022,9449,51,759042,191,49.47,0.02,Auvergne-Rhône-Alpes
Loire,2023,13692,50,761598,181,75.65,0.01,Auvergne-Rhône-Alpes
Loire,2024,17817,41,779223,524,34.0,0.03,Auvergne-Rhône-Alpes
Loire-Atlantique,2020,7829,327,1275465,9,869.89,0.0,Pays de la Loire
Loire-Atlantique,2021,13790,343,1358844,475,29.03,0.03,Pays de la Loire
Loire-Atlantique,2022,19308,336,1300406,201,96.06,0.01,Pays de la Loire
Loire-Atlantique,2023,27967,362,1323179,658,42.5,0.02,Pays de la Loire
Loire-Atlantique,2024,35983,362,1326840,1319,27.28,0.04,Pays de la Loire
Loiret,2020,3618,24,668162,31,116.71,0.01,Centre-Val de Loire
Loiret,2021,6240,27,697849,73,85.48,0.01,Centre-Val de Loire
Loiret,2022,8802,29,691956,255,34.52,0.03,Centre-Val de Loire
Loiret,2023,12870,28,698114,218,59.04,0.02,Centre-Val de Loire
Loiret,2024,15337,26,679165,433,35.42,0.03,Centre-Val de Loire
Lot,2021,1530,7,193799,133,11.5,0.09,Occitanie
Lot,2022,2210,7,198302,33,66.97,0.01,Occitanie
Lot,2023,2914,7,198404,30,97.13,0.01,Occitanie
Lot,2024,3577,7,199581,111,32.23,0.03,Occitanie
Lot-et-Garonne,2020,1834,14,352847,47,39.02,0.03,Nouvelle-Aquitaine
Lot-et-Garonne,2021,3187,17,355104,21,151.76,0.01,Nouvelle-Aquitaine
Lot-et-Garonne,2022,4614,15,361298,73,63.21,0.02,Nouvelle-Aquitaine
Lot-et-Garonne,2023,6326,19,362872,80,79.08,0.01,Nouvelle-Aquitaine
Lot-et-Garonne,2024,7599,22,358070,464,16.38,0.06,Nouvelle-Aquitaine
Lozère,2020,252,0,82277,14,18.0,0.06,Occitanie
Lozère,2021,401,0,81802,6,66.83,0.01,Occitanie
Lozère,2022,582,0,84800,71,8.2,0.12,Occitanie
Lozère,2023,781,1,86147,6,130.17,0.01,Occitanie
Lozère,2024,996,1,86279,28,35.57,0.03,Occitanie
Maine-et-Loire,2020,4245,49,733356,1,4245.0,0.0,Pays de la Loire
Maine-et-Loire,2021,7168,59,755428,416,17.23,0.06,Pays de la Loire
Maine-et-Loire,2022,10527,73,765104,200,52.64,0.02,Pays de la Loire
Maine-et-Loire,2023,14631,81,762632,248,59.0,0.02,Pays de la Loire
Maine-et-Loire,2024,19634,89,781720,782,25.11,0.04,Pays de la Loire
Manche,2020,2865,23,486462,16,179.06,0.01,Normandie
Manche,2021,4757,22,492148,130,36.59,0.03,Normandie
Manche,2022,6995,26,496924,73,95.82,0.01,Normandie
Manche,2023,10319,28,509006,134,77.01,0.01,Normandie
Manche,2024,13024,27,514065,362,35.98,0.03,Normandie
Marne,2020,2947,8,551392,93,31.69,0.03,Grand Est
Marne,2021,5555,10,560936,59,94.15,0.01,Grand Est
Marne,2022,8368,11,566718,115,72.77,0.01,Grand Est
Marne,2023,12128,19,572827,245,49.5,0.02,Grand Est
Marne,2024,14948,29,577248,716,20.88,0.05,Grand Est
Mayenne,2020,1472,6,292081,20,73.6,0.01,Pays de la Loire
Mayenne,2021,2356,4,291587,25,94.24,0.01,Pays de la Loire
Mayenne,2022,2833,8,260858,53,53.45,0.02,Pays de la Loire
Mayenne,2023,5159,14,310065,59,87.44,0.01,Pays de la Loire
Mayenne,2024,5058,10,257625,330,15.33,0.07,Pays de la Loire
Meurthe-et-Moselle,2020,3422,27,698450,57,60.04,0.02,Grand Est
Meurthe-et-Moselle,2021,6168,32,699973,49,125.88,0.01,Grand Est
Meurthe-et-Moselle,2022,9231,37,702646,175,52.75,0.02,Grand Est
Meurthe-et-Moselle,2023,13672,39,719280,375,36.46,0.03,Grand Est
Meurthe-et-Moselle,2024,17792,52,721933,723,24.61,0.04,Grand Est
Meuse,2020,700,7,200211,2,350.0,0.0,Grand Est
Meuse,2021,1030,5,186714,15,68.67,0.01,Grand Est
Meuse,2022,1772,6,206031,64,27.69,0.04,Grand Est
Meuse,2023,2281,7,194070,35,65.17,0.02,Grand Est
Meuse,2024,2966,6,195076,84,35.31,0.03,Grand Est
Morbihan,2020,3841,48,771656,13,295.46,0.0,Bretagne
Morbihan,2021,6638,62,791584,37,179.41,0.01,Bretagne
Morbihan,2022,9702,72,793489,154,63.0,0.02,Bretagne
Morbihan,2023,13781,79,810327,189,72.92,0.01,Bretagne
Morbihan,2024,17984,85,820586,935,19.23,0.05,Bretagne
Moselle,2020,4872,61,1112180,73,66.74,0.01,Grand Est
Moselle,2021,9256,64,1130048,36,257.11,0.0,Grand Est
Moselle,2022,13971,66,1134582,307,45.51,0.02,Grand Est
Moselle,2023,20849,66,1154517,744,28.02,0.04,Grand Est
Moselle,2024,27312,63,1176733,1396,19.56,0.05,Grand Est
Nièvre,2022,1745,40,223087,30,58.17,0.02,Bourgogne-Franche-Comté
Nièvre,2023,2399,36,228327,73,32.86,0.03,Bourgogne-Franche-Comté
Nièvre,2024,3011,35,230094,271,11.11,0.09,Bourgogne-Franche-Comté
Nord,2020,13314,218,2481726,379,35.13,0.03,Hauts-de-France
Nord,2021,23787,227,2515683,514,46.28,0.02,Hauts-de-France
Nord,2022,35642,223,2555317,951,37.48,0.03,Hauts-de-France
Nord,2023,52283,224,2583964,1206,43.35,0.02,Hauts-de-France
Nord,2024,70272,230,2634578,1786,39.35,0.03,Hauts-de-France
Oise,2020,6220,40,1112294,18,345.56,0.0,Hauts-de-France
Oise,2021,13558,41,1137194,74,183.22,0.01,Hauts-de-France
Oise,2022,18645,39,1153743,126,147.98,0.01,Hauts-de-France
Oise,2023,24936,44,1144590,207,120.46,0.01,Hauts-de-France
Oise,2024,24076,46,1104696,975,24.69,0.04,Hauts-de-France
Orne,2020,1095,6,291849,3,365.0,0.0,Normandie
Orne,2021,1748,10,283199,36,48.56,0.02,Normandie
Orne,2022,2581,9,286807,39,66.18,0.02,Normandie
Orne,2023,3788,9,304382,79,47.95,0.02,Normandie
Orne,2024,4558,10,291617,162,28.14,0.04,Normandie
Paris,2020,21284,165,1134114,256,83.14,0.01,Île-de-France
Paris,2021,34605,163,1141260,2401,14.41,0.07,Île-de-France
Paris,2022,47874,172,1148236,1697,28.21,0.04,Île-de-France
Paris,2023,68039,267,1175290,1830,37.18,0.03,Île-de-France
Paris,2024,87957,259,1232080,435,202.2,0.0,Île-de-France
Pas-de-Calais,2020,5596,40,1355307,119,47.03,0.02,Hauts-de-France
Pas-de-Calais,2021,10325,37,1387882,277,37.27,0.03,Hauts-de-France
Pas-de-Calais,2022,16260,42,1391776,419,38.81,0.03,Hauts-de-France
Pas-de-Calais,2023,24734,52,1420045,516,47.93,0.02,Hauts-de-France
Pas-de-Calais,2024,32778,52,1445862,1013,32.36,0.03,Hauts-de-France
Puy-de-Dôme,2020,3350,34,654720,27,124.07,0.01,Auvergne-Rhône-Alpes
Puy-de-Dôme,2021,5939,35,662495,25,237.56,0.0,Auvergne-Rhône-Alpes
Puy-de-Dôme,2022,8768,39,674847,281,31.2,0.03,Auvergne-Rhône-Alpes
