nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,borne/nb_el,nom_region,nb_borne_cumule,nb_el/borne
Hérault,2024,36305,62,1228065,1058,0.03,Occitanie,2044,17.76174168297456
Ille-et-Vilaine,2020,5744,24,983078,68,0.01,Bretagne,68,84.47058823529412
Ille-et-Vilaine,2021,9781,37,999477,67,0.01,Bretagne,135,72.45185185185186
Ille-et-Vilaine,2022,14801,39,1001747,196,0.01,Bretagne,331,44.716012084592144
Ille-et-Vilaine,2023,20607,47,1012251,367,0.02,Bretagne,698,29.522922636103154
Ille-et-Vilaine,2024,27517,54,1046218,593,0.02,Bretagne,1291,21.3144848954299
Indre,2020,672,2,216932,5,0.01,Centre-Val de Loire,5,134.4
Indre,2021,1089,2,219279,4,0.0,Centre-Val de Loire,9,121.0
Indre,2022,1642,1,224913,33,0.02,Centre-Val de Loire,42,39.095238095238095
Indre,2023,2208,1,227561,18,0.01,Centre-Val de Loire,60,36.8
Indre,2024,2805,3,222134,194,0.07,Centre-Val de Loire,254,11.043307086614174
Indre-et-Loire,2020,3872,13,560889,15,0.0,Centre-Val de Loire,15,258.1333333333333
Indre-et-Loire,2021,6446,10,569258,64,0.01,Centre-Val de Loire,79,81.59493670886076
Indre-et-Loire,2022,9029,13,563505,109,0.01,Centre-Val de Loire,188,48.026595744680854
Indre-et-Loire,2023,13178,13,581573,309,0.02,Centre-Val de Loire,497,26.515090543259557
Indre-et-Loire,2024,16726,15,588175,294,0.02,Centre-Val de Loire,791,21.145385587863466
Isère,2020,8111,126,1234395,314,0.04,Auvergne-Rhône-Alpes,314,25.831210191082803
Isère,2021,14019,155,1263577,166,0.01,Auvergne-Rhône-Alpes,480,29.20625
Isère,2022,19873,162,1255946,338,0.02,Auvergne-Rhône-Alpes,818,24.294621026894866
Isère,2023,29220,179,1297580,432,0.01,Auvergne-Rhône-Alpes,1250,23.376
Isère,2024,37301,169,1308412,868,0.02,Auvergne-Rhône-Alpes,2118,17.611425873465535
Jura,2020,1197,5,259798,10,0.01,Bourgogne-Franche-Comté,10,119.7
Jura,2021,2134,6,275694,18,0.01,Bourgogne-Franche-Comté,28,76.21428571428571
Jura,2022,3127,9,275764,29,0.01,Bourgogne-Franche-Comté,57,54.85964912280702
Jura,2023,4326,9,279534,76,0.02,Bourgogne-Franche-Comté,133,32.526315789473685
Jura,2024,5424,7,277412,152,0.03,Bourgogne-Franche-Comté,285,19.03157894736842
Landes,2020,1946,24,441349,167,0.09,Nouvelle-Aquitaine,167,11.652694610778443
Landes,2021,3783,28,461006,41,0.01,Nouvelle-Aquitaine,208,18.1875
Landes,2022,5821,30,465992,109,0.02,Nouvelle-Aquitaine,317,18.36277602523659
Landes,2023,8023,24,461106,172,0.02,Nouvelle-Aquitaine,489,16.406952965235174
Landes,2024,10712,33,473772,651,0.06,Nouvelle-Aquitaine,1140,9.396491228070175
Loir-et-Cher,2020,1721,8,337717,30,0.02,Centre-Val de Loire,30,57.36666666666667
Loir-et-Cher,2021,2715,9,345812,40,0.01,Centre-Val de Loire,70,38.785714285714285
Loir-et-Cher,2022,3888,8,344257,284,0.07,Centre-Val de Loire,354,10.983050847457626
Loir-et-Cher,2023,5481,7,346865,164,0.03,Centre-Val de Loire,518,10.58108108108108
Loir-et-Cher,2024,7142,9,358535,445,0.06,Centre-Val de Loire,963,7.416407061266875
Loire,2020,3324,44,726220,257,0.08,Auvergne-Rhône-Alpes,257,12.933852140077821
Loire,2021,6270,48,746773,107,0.02,Auvergne-Rhône-Alpes,364,17.225274725274726
Loire,2022,9449,51,759042,191,0.02,Auvergne-Rhône-Alpes,555,17.025225225225224
Loire,2023,13692,50,761598,181,0.01,Auvergne-Rhône-Alpes,736,18.60326086956522
Loire,2024,17817,41,779223,524,0.03,Auvergne-Rhône-Alpes,1260,14.14047619047619
Loire-Atlantique,2020,7829,327,1275465,9,0.0,Pays de la Loire,9,869.8888888888889
Loire-Atlantique,2021,13790,343,1358844,475,0.03,Pays de la Loire,484,28.49173553719008
Loire-Atlantique,2022,19308,336,1300406,201,0.01,Pays de la Loire,685,28.18686131386861
Loire-Atlantique,2023,27967,362,1323179,658,0.02,Pays de la Loire,1343,20.824274013402828
Loire-Atlantique,2024,35983,362,1326840,1319,0.04,Pays de la Loire,2662,13.517280240420737
Loiret,2020,3618,24,668162,31,0.01,Centre-Val de Loire,31,116.70967741935483
Loiret,2021,6240,27,697849,73,0.01,Centre-Val de Loire,104,60.0
Loiret,2022,8802,29,691956,255,0.03,Centre-Val de Loire,359,24.518105849582174
Loiret,2023,12870,28,698114,218,0.02,Centre-Val de Loire,577,22.305025996533796
Loiret,2024,15337,26,679165,433,0.03,Centre-Val de Loire,1010,15.185148514851486
Lot,2021,1530,7,193799,133,0.09,Occitanie,133,11.503759398496241
Lot,2022,2210,7,198302,33,0.01,Occitanie,166,13.313253012048193
Lot,2023,2914,7,198404,30,0.01,Occitanie,196,14.86734693877551
Lot,2024,3577,7,199581,111,0.03,Occitanie,307,11.651465798045603
Lot-et-Garonne,2020,1834,14,352847,47,0.03,Nouvelle-Aquitaine,47,39.02127659574468
Lot-et-Garonne,2021,3187,17,355104,21,0.01,Nouvelle-Aquitaine,68,46.86764705882353
Lot-et-Garonne,2022,4614,15,361298,73,0.02,Nouvelle-Aquitaine,141,32.723404255319146
Lot-et-Garonne,2023,6326,19,362872,80,0.01,Nouvelle-Aquitaine,221,28.624434389140273
Lot-et-Garonne,2024,7599,22,358070,464,0.06,Nouvelle-Aquitaine,685,11.093430656934306
Lozère,2020,252,0,82277,14,0.06,Occitanie,14,18.0
Lozère,2021,401,0,81802,6,0.01,Occitanie,20,20.05
Lozère,2022,582,0,84800,71,0.12,Occitanie,91,6.395604395604396
Lozère,2023,781,1,86147,6,0.01,Occitanie,97,8.051546391752577
Lozère,2024,996,1,86279,28,0.03,Occitanie,125,7.968
Maine-et-Loire,2020,4245,49,733356,1,0.0,Pays de la Loire,1,4245.0
Maine-et-Loire,2021,7168,59,755428,416,0.06,Pays de la Loire,417,17.189448441247002
Maine-et-Loire,2022,10527,73,765104,200,0.02,Pays de la Loire,617,17.06158833063209
Maine-et-Loire,2023,14631,81,762632,248,0.02,Pays de la Loire,865,16.91445086705202
Maine-et-Loire,2024,19634,89,781720,782,0.04,Pays de la Loire,1647,11.921068609593199
Manche,2020,2865,23,486462,16,0.01,Normandie,16,179.0625
Manche,2021,4757,22,492148,130,0.03,Normandie,146,32.582191780821915
Manche,2022,6995,26,496924,73,0.01,Normandie,219,31.940639269406393
Manche,2023,10319,28,509006,134,0.01,Normandie,353,29.23229461756374
Manche,2024,13024,27,514065,362,0.03,Normandie,715,18.215384615384615
Marne,2020,2947,8,551392,93,0.03,Grand Est,93,31.688172043010752
Marne,2021,5555,10,560936,59,0.01,Grand Est,152,36.546052631578945
Marne,2022,8368,11,566718,115,0.01,Grand Est,267,31.34082397003745
Marne,2023,12128,19,572827,245,0.02,Grand Est,512,23.6875
Marne,2024,14948,29,577248,716,0.05,Grand Est,1228,12.172638436482085
Mayenne,2020,1472,6,292081,20,0.01,Pays de la Loire,20,73.6
